Rank	Title	Status	Study Results	Conditions	Interventions	Locations	URL
148	A Comparative Study of Artekin With Standard Malarial Treatment Regimes in Afghanistan	Completed	No Results Available	Uncomplicated Falciparum Malaria|Vivax Malaria	Drug: Dihydroartemisinin + Piperaquine (Artekin)|Drug: artesunate-sulphadoxin/pyrimethamine, chloroquine	Provincial Malaria Control Centers (MRC), Faryab, Afghanistan|Provincial Malaria Control Centers (MRC), Jalalabad, Afghanistan|Provincial Malaria Control Centers (MRC), Maimana, Afghanistan|Provincial Malaria Control Centers (MRC), Takhar, Afghanistan	https://ClinicalTrials.gov/show/NCT00682578
149	Clinical Investigation of In-vivo Susceptibility of P.Falciparum to Artesunate in Western Cambodia	Completed	No Results Available	Falciparum Malaria	Drug: Artesunate|Drug: Artesunate + Mefloquine	Pailin Referal Hospital, Pailin, Cambodia	https://ClinicalTrials.gov/show/NCT00493363
150	Antimalaria Drugs Susceptibility Testing for an Effective Management of Infected Patients in Sub-Sahara Africa	Completed	No Results Available	Drug Resistant Malaria Due to Plasmodium Falciparum	Drug: Arthemeter-lumefantrine|Drug: Artesunate mefloquine|Drug: Dihydroartemisinin piperaquine|Drug: Paracetamol|Drug: Amoxicillin|Drug: Quinine	CDC Hospital, Tiko, South west, Cameroon	https://ClinicalTrials.gov/show/NCT02974348
151	CQSP in Malawi: Chloroquine and Sulfadoxine-pyrimethamine Efficacy for the Treatment of Malaria in Malawi	Completed	No Results Available	Malaria|Plasmodium Falciparum Malaria	Drug: chloroquine sulfate|Drug: sulfadoxine/pyrimethamine	Blantyre Malaria Project, Blantyre, Malawi	https://ClinicalTrials.gov/show/NCT00125489
152	Sporozoite Challenge of Polyprotein Vaccinees	Completed	No Results Available	Malaria, Falciparum|Malaria	Biological: FP9-PP (FP9 polyprotein)|Biological: MVA-PP (Modified Virus Ankara polyprotein)	Imperial College, University of London, London, United Kingdom|Centre for Clinical Vaccinology & Tropical Medicine, University of Oxford, Oxford, United Kingdom	https://ClinicalTrials.gov/show/NCT00375128
153	Safety and Immunogenicity Study of the Malaria Vaccines FP9 PP and MVA PP	Completed	No Results Available	Malaria, Falciparum|Malaria	Biological: FP9-PP (FP9 polyprotein)|Biological: MVA-PP (Modified Virus Ankara polyprotein)	Centre for Clinical Vaccinology & Tropical Medicine, University of Oxford, Oxford, United Kingdom	https://ClinicalTrials.gov/show/NCT00374998
154	Triple Antimalarial Combination to Accelerate the Parasite Clearance and to Prevent the Selection of Resistant Parasites	Recruiting	No Results Available	Plasmodium Falciparum Malaria (Drug Resistant)	Drug: Imatinib|Drug: Dihydroartemisinin-piperaquine	A Tuc, Hương Hóa, Quang Tri, Vietnam	https://ClinicalTrials.gov/show/NCT03697668
155	Prevention of Malaria During Pregnancy Using Intermittent Preventive Treatment With Sulfadoxine-Pyrimethamine: Malawi	Completed	No Results Available	Malaria, Falciparum|HIV Infections	Drug: Monthly sulfadoxine/pyrimethamine|Drug: 2-dose sulfadoxine/pyrimethamine	Machinga District Hospital, Liwonde, Malawi	https://ClinicalTrials.gov/show/NCT00126906
156	Efficacy of Combined PEV3A Virosomal Vaccine and FP9-MVA ME-TRAP Prime Boost Regimen	Completed	No Results Available	Malaria|Malaria, Falciparum	Biological: PEV3A|Biological: FP9 ME-TRAP|Biological: MVA ME-TRAP	Centre for Clinical Vaccinology and Tropical Medicine, Oxford, Oxfordshire, United Kingdom	https://ClinicalTrials.gov/show/NCT00408668
157	Evaluate Azithromycin Plus Chloroquine And Sulfadoxine Plus Pyrimethamine Combinations For Intermittent Preventive Treatment Of Falciparum Malaria Infection In Pregnant Women In Africa	Terminated	Has Results	Intermittent Preventive Treatment In Pregnancy (IPTp)	Drug: Azithromycin plus chloroquine|Drug: sulfadoxine-pyrimethamine	Centre de Santé d'AHOUANSORI-AGUE, Cotonou, Benin|Hôpital Bethesda, Cotonou, Benin|Siaya District Hospital, Siaya, Kenya|Zomba Central Hospital, Zomba, Malawi|Teule Hospital, Muheza, Tanga, Tanzania|Bugando Medical Centre, Mwanza, Tanzania|Nyamagana District Hospital, c/o National Institute for Medical Research, Mwanza Centre, Mwanza, Tanzania|Nyamagana District Hospital, Mwanza, Tanzania|Mulago Hospital Complex, Kampala, Uganda	https://ClinicalTrials.gov/show/NCT01103063
158	Phase Ib Trial of Two Virosome Formulated Malaria Vaccine Components (PEV 301, PEV 302) in Tanzania	Completed	No Results Available	Falciparum Malaria	Biological: PEV 301& 302 in virosomes|Biological: Inflexal V (active comparator)	Bagamoyo Research and Training Unit, Bagamoyo, Tanzania	https://ClinicalTrials.gov/show/NCT00513669
159	Assessing the Efficacy of Artemisinin Combination Therapies for Treatment of Uncomplicated Malaria Infection in Children	Completed	No Results Available	P. Falciparum Malaria	Drug: artemether-lumefantrine|Drug: Dihydroartemisinin-piperaquine	Miono Health Center, Bagamoyo, Tanzania	https://ClinicalTrials.gov/show/NCT01082705
160	Study to Investigate the Induction of an Protective Immune Response to Malaria	Completed	No Results Available	Falciparum Malaria	Procedure: exposure to malaria sporozoites	Radboud University Nijmegen Medical Centre, Nijmegen, Netherlands	https://ClinicalTrials.gov/show/NCT00442377
161	SJ733 Induced Blood Stage Malaria Challenge Study	Completed	No Results Available	Plasmodium Falciparum Malaria	Drug: (+)-SJ000557733	Q-Pharm Clinics, Royal Brisbane and Women's Hospital, Brisbane, Queensland, Australia|Q-Pharm Clinics, Herston, Queensland, Australia	https://ClinicalTrials.gov/show/NCT02867059
162	Phase Ia Malaria Vaccine Trial of Two Virosome-Formulated Peptides	Terminated	No Results Available	Falciparum Malaria	Biological: Virosome-formulated synthetic peptides (malaria vaccine)		https://ClinicalTrials.gov/show/NCT00400101
163	Effectiveness of KAE609 in Reducing Asexual & Sexual Blood-stage P.Falciparum Infection & Infectivity to Mosquitos	Terminated	No Results Available	Plasmodium Falciparum Malaria	Drug: KAE609|Drug: Piperaquine Phosphate	Novartis Investigative Site, Brisbane, Queensland, Australia	https://ClinicalTrials.gov/show/NCT02543086
164	Efficacy and Effectiveness of Combined Therapy for Uncomplicated Malaria Treatment in Peru	Completed	No Results Available	Malaria Falciparum	Drug: mefloquine plus artesunate	Loreto Healthcare Facility, Iquitos, Loreto, Peru	https://ClinicalTrials.gov/show/NCT00164216
165	A Safety and Efficacy Study of Concomitant Administration of ChAd63/MVA ME-TRAP + RTS,S	Completed	No Results Available	Plasmodium Falciparum Malaria	Biological: RTS,S/AS01B (50mcg of RTS,S and standard adult dose of AS01)|Biological: RTS,S/AS01B (10mcg of RTS,S and one fifth of the standard dose of AS01)|Biological: ChAd63 ME-TRAP (5 x 10^10 vp)|Biological: MVA ME-TRAP (2 x 10^8 pfu)	NIHR WTCRF, University Hospital Southampton NHS Foundation Trust, Southampton, Hampshire, United Kingdom|Centre for Clinical Vaccinology and Tropical Medicine, University of Oxford, Oxford, Oxfordshire, United Kingdom|Surrey Clinical Research Centre, University of Surrey, Guildford, Surrey, United Kingdom|NIHR/Wellcome Trust Imperial CRF, Hammersmith Hospital, Imperial College NHS Trust, London, United Kingdom	https://ClinicalTrials.gov/show/NCT02252640
166	Phase 1 Trial of a Malaria Vaccine in Young Kenyan Children	Completed	Has Results	Plasmodium Falciparum Malaria	Biological: FMP1/AS02A Malaria vaccine|Biological: Imovax Rabies vaccine	Walter Reed Project Kombewa Clinic, Kombewa, Nyanza Province, Kenya	https://ClinicalTrials.gov/show/NCT00317473
167	Phase I/II Trial of a Malaria Vaccine in Adults Living in the United States of America	Completed	Has Results	Plasmodium Falciparum Malaria	Biological: Falciparum Malaria Protein 11 with AS01B adjuvant.	Walter Reed Army Institute of Research, Silver Spring, Maryland, United States	https://ClinicalTrials.gov/show/NCT00312663
168	A Safety and Efficacy Study of ChAd63/MVA METRAP + RTS,S	Completed	No Results Available	Plasmodium Falciparum Malaria	Biological: RTS,S/AS01B|Biological: ChAd63 ME-TRAP|Biological: MVA ME-TRAP	Wellcome Trust CRF, Southampton General Hospital, University of Southampton, Southampton, Hampshire, United Kingdom|Centre for Clinical Vaccinology and Tropical Medicine, University of Oxford, Oxford, Oxfordshire, United Kingdom|Infection and Immunity Section, Sir Alexander Fleming Building, Imperial College of Science, Technology and Medicine, London, United Kingdom|Hammersmith Hospital, Imperial College NHS Trust, London, United Kingdom	https://ClinicalTrials.gov/show/NCT01883609
169	Targeted Chemo-elimination (TCE) of Malaria	Completed	No Results Available	Plasmodium Falciparum Malaria	Drug: malaria elimination using DP and low-dose primaquine	Pailin, Pailin, Cambodia|Savannakhet, Savannakhet, Lao People's Democratic Republic|Mahidol Oxford Clincal Research Unit, Myanmar, Rangoon, Myanmar|Shoklo Malaria Research Unit, Mae Sot, Tak, Thailand|Oxford University Clinical Research Unit - Vietnam, Ho Chi Minh city, Vietnam	https://ClinicalTrials.gov/show/NCT01872702
170	Rapid Diagnostic Tests for Assessment of Initial Clearance and Detection of Recurrent Malaria Infections	Completed	No Results Available	Plasmodium Falciparum Malaria	Device: HRP2 and LDH based rapid diagnostic tests for P.falciparum	Mlandizi Health Centre and Fukayosi dispencary, Dar es Salaam, Kibaha and Bagamoyo district, Tanzania|Muhimbili University of Health Allied Science, Dar es Salaam, Tanzania	https://ClinicalTrials.gov/show/NCT01843764
171	A Phase I/IIa Sporozoite Challenge Study to Assess the Efficacy of Candidate Combination Malaria Vaccine Approaches Using the ChAd63 and MVA Vectors Encoding the Antigens ME-TRAP, CS and AMA1	Completed	No Results Available	Plasmodium Falciparum Malaria	Biological: ChAd63 CS/ME-TRAP|Biological: MVA CS/ME-TRAP|Biological: ChAd63 CS/ME-TRAP/AMA1|Biological: MVA CS/ME-TRAP/AMA1|Other: Controlled Human Malaria Infection Administered by Mosquito Bite	Wellcome Trust CRF, Southampton General Hospital, Southampton, Hampshire, United Kingdom|Centre for Clinical Vaccinology and Tropical Medicine, Oxford, Oxfordshire, United Kingdom|Infection and Immunity Section, Imperial College of Science, Technology and Medicine, London, United Kingdom	https://ClinicalTrials.gov/show/NCT01739036
172	A Challenge Study to Assess the Protective Efficacy of Two Malaria Vaccine Candidates	Completed	No Results Available	Plasmodium Falciparum Malaria	Biological: ChAd63-MVA CS|Biological: ChAd63-MVA ME-TRAP|Other: Controlled Human Malaria Infection Administered by Mosquito Bite	Centre for Clinical Vaccinology and Tropical Medicine, Oxford, Oxfordshire, United Kingdom|Infection and Immunity Section, Imperial College of Science, Technology and Medicine, London, United Kingdom|Wellcome Trust CRF, Southampton General Hospital, Southampton, United Kingdom	https://ClinicalTrials.gov/show/NCT01623557
173	Experimental Human Malaria Infection After Immunization With Plasmodium Falciparum Sporozoites Under Chloroquine Prophylaxis	Completed	No Results Available	Plasmodium Falciparum Malaria	Drug: Chloroquine prophylaxis|Biological: Immunization|Biological: Plasmodium falciparum Bloodstage challenge|Biological: Plasmodium falciparum mosquito challenge|Drug: Malarone treatment	Radboud University Nijmegen Medical Centre, Nijmegen, Netherlands	https://ClinicalTrials.gov/show/NCT01236612
174	Immunization With Different Doses of Plasmodium Falciparum Sporozoites Under Chloroquine Prophylaxis	Completed	No Results Available	Plasmodium Falciparum Malaria	Drug: Chloroquine prophylaxis|Biological: Immunization|Biological: Plasmodium falciparum challenge|Drug: Malarone treatment	Leiden University Medical Centre, Leiden, Netherlands	https://ClinicalTrials.gov/show/NCT01218893
175	EBA-175 RII-NG Malaria Vaccine Administered Intramuscularly in Semi-immune Adults	Completed	No Results Available	Plasmodium Falciparum Malaria	Drug: Placebo|Biological: EBA-175 RII-NG Malaria Vaccine	Noguchi Memorial Institute for Medical Research - Immunology, Legon, Greater Accra, Ghana	https://ClinicalTrials.gov/show/NCT01026246
176	Extended Duration Artemether-lumefantrine Treatment for Malaria in Children	Recruiting	No Results Available	Uncomplicated Plasmodium Falciparum Malaria	Drug: Artemether-lumefantrine	MGH campus, Busia, Uganda|IDRC- Tororo Research Clinic and Tororo District Hospital, Tororo, Uganda	https://ClinicalTrials.gov/show/NCT03453840
177	A Randomised Trial of Artekin and Artesunate & Amodiaquine for Uncomplicated Malaria in Timika, Papua, Indonesia.	Completed	No Results Available	Malaria, Falciparum|Malaria, Vivax	Drug: Amodiaquine plus artesunate; Artekin	SP9 & SP12 Public Health & Malaria Control Clinics, Timika, Papua, Indonesia	https://ClinicalTrials.gov/show/NCT00157885
178	The Community Effectiveness of IPTi in Southern Tanzania	Unknown status	No Results Available	Malaria, Falciparum|Anemia	Drug: Sulfadoxine-pyrimethamine used for IPTi|Drug: IPTi	Ifakara Health Research & Development Centre, Dar es Salaam, Tanzania	https://ClinicalTrials.gov/show/NCT00152204
179	Assessment of Three Formulations of the Candidate Vaccine AMA 1 in Healthy Dutch Adult Volunteers	Completed	No Results Available	Plasmodium Falciparum Malaria	Biological: PfAMA-1-FVO[25-545]	Radboud University Nijmegen Medical Centre, Nijmegen, Netherlands|Biomedical Primate Research Centre, Rijswijk, Netherlands	https://ClinicalTrials.gov/show/NCT00730782
180	Malarial Immunity in Pregnant Cameroonian Women	Unknown status	No Results Available	Plasmodium Falciparum Malaria		University of Yaounde 1, Yaounde, Cameroon	https://ClinicalTrials.gov/show/NCT00593398
181	Phase II AMA-1 Malaria Vaccine FMP2.1/AS02A Trial in Mali	Completed	Has Results	Plasmodium Falciparum Malaria	Biological: FMP2.1/AS02A|Biological: Rabies Vaccine	University of Bamako, Malaria Research and Training Center, Bamako, Mali	https://ClinicalTrials.gov/show/NCT00460525
182	Malaria Transmission and Immunity in Highland Kenya	Completed	No Results Available	Plasmodium Falciparum Malaria		Kenya Medical Research Institute, Kisumu, Kenya	https://ClinicalTrials.gov/show/NCT00393757
183	CS DNA MVA Trial in Mampong, Ghana	Withdrawn	No Results Available	Plasmodium Falciparum Malaria	Biological: MVA-CSO Vaccine|Biological: PfCSP DNA (VCL-2510) Vaccine	Naval Medical Research Center, Silver Spring, Maryland, United States|Noguchi Memorial Institute of Medical Research, Legon, Ghana	https://ClinicalTrials.gov/show/NCT00377494
184	Phase I Pediatric FMP2.1/AS02A Trial in Mali	Completed	Has Results	Plasmodium Falciparum Malaria	Biological: FMP2.1/AS02A|Biological: Rabies vaccine (RabAvert)	University of Bamako, Malaria Research and Training Center, Bamako, Mali	https://ClinicalTrials.gov/show/NCT00358332
185	Malaria Prevalence in Children	Completed	No Results Available	Plasmodium Falciparum Malaria		Medical Research Council's Laboratories, Fajara, Gambia	https://ClinicalTrials.gov/show/NCT00322816
186	Time to Infection With Malaria Parasites	Completed	No Results Available	Plasmodium Falciparum Malaria		Medical Research Council's Laboratories, Fajara, Gambia	https://ClinicalTrials.gov/show/NCT00322738
187	Human Immunity to MSP-1 in Western Kenya	Unknown status	No Results Available	Plasmodium Falciparum Malaria		Kenya Medical Research Institute, Kisumu, Kenya	https://ClinicalTrials.gov/show/NCT00138372
188	Pentoxifylline in Children With Malaria	Terminated	No Results Available	Plasmodium Falciparum Malaria	Drug: Pentoxifylline	KEMRI Centre for Geographic Medicine Research, Kilifi, Kenya	https://ClinicalTrials.gov/show/NCT00133393
189	Efficacy of Artesunate-amodiaquine (AS-AQ) in Children With Malaria and Severe Acute Malnutrition, Madaoua, Niger 2010	Withdrawn	No Results Available	Malaria, Falciparum|Malnutrition|Child	Drug: Artesunate-amodiaquine fixed-dose combination	Integrated health centre (CSI), Madaoua, Tahoua, Niger	https://ClinicalTrials.gov/show/NCT01204411
190	FMP2.1/AS02A: Rabies Vaccine Malaria-Experienced Adults in Bandiagara, Mali	Completed	Has Results	Malaria|Plasmodium Falciparum Malaria	Biological: FMP2.1/AS02A|Biological: Rabies vaccine (RabAvert)	University of Bamako, Malaria Research and Training Center, Bamako, Mali	https://ClinicalTrials.gov/show/NCT00349713
191	Re-exposure of EHMI-8 Human Volunteers to Live Malaria Sporozoites	Completed	No Results Available	P. Falciparum Malaria	Biological: Exposure to 5 P. falciparum infected mosquitoes	UMC St. Radboud, Nijmegen, Netherlands	https://ClinicalTrials.gov/show/NCT00757887
192	A Trial For The Study of Falciparum Malaria Protein 013 Administered Via Intramuscular Injection in Healthy Adults	Not yet recruiting	No Results Available	Vaccine Reaction	Drug: FMP013|Drug: ALFQ	WRAIR, Clinical Trials Center, Silver Spring, Maryland, United States	https://ClinicalTrials.gov/show/NCT04268420
193	Artemether-lumefantrine for Treatment of P. Falciparum Malaria in Brazil	Completed	Has Results	Malaria	Drug: Artemether-lumefantrine combination	Hospital do Jurua, Cruzeiro do Sul, Brazil	https://ClinicalTrials.gov/show/NCT02600767
194	Antimalarial Drug Resistance With Assessment of Transmission Blocking Activity	Suspended	No Results Available	Uncomplicated Plasmodium Falciparum Malaria	Drug: DHA-piperaquine and Primaquine	Anlong Veng Referral Hospital, Anlong Veng, Oddormean Chey, Cambodia	https://ClinicalTrials.gov/show/NCT01849640
195	MMV390048 POC in Patients With P. Vivax and P. Falciparum Malaria	Suspended	No Results Available	Malaria	Drug: MMV390048	University of Gondar Hospital/Maksegnit Health Centre, Gondar, Amhara, Ethiopia|Jimma University Referral Hospital/Agaro District Hospital, Jimma, Oromia, Ethiopia	https://ClinicalTrials.gov/show/NCT02880241
196	The Impact of Artemether-Lumefantrine on Genes Associated With Antimalarial Resistance	Completed	No Results Available	Falciparum Malaria|Antimalarials		Tropical Medicine Research Institute, Khartoum, Sudan	https://ClinicalTrials.gov/show/NCT00440752
197	Efficacy of Chloroquine + Sulfadoxine Pyrimethamine Versus Artemether + Lumefantrine for the Treatment of Uncomplicated Plasmodium Falciparum Malaria in the Philippines	Completed	No Results Available	Malaria	Drug: artemether/lumafantrine vs chloroquine/sulfadoxine-pyrimethamine	Kalinga Health Center, Tabuk, Kalinga Province, Philippines|Davao Health Center, Davao City, Mindinao, Philippines|Palawan Health Center, Puerto Princesa, Palawan, Philippines	https://ClinicalTrials.gov/show/NCT00229775
198	Study to Investigate the Clinical and Parasiticidal Activity and Pharmacokinetics of Different Doses of Artefenomel and Ferroquine in Patients With Uncomplicated Plasmodium Falciparum Malaria	Completed	No Results Available	Plasmodium Falciparum Infection	Drug: Artefenomel OZ439|Drug: Ferroquine SSR97193	Investigational Site Number 2040001, Cotonou, Benin|Investigational Site Number 8540001, Ouagadougou, Burkina Faso|Investigational Site Number 8540002, Ouagadougou, Burkina Faso|Investigational Site Number 2660002, Lambarene, Gabon|Investigational Site Number 2660001, Libreville, Gabon|Investigational Site Number 4040002, Siaya County, Kenya|Investigational Site Number 8000001, Tororo, Uganda	https://ClinicalTrials.gov/show/NCT03660839
199	A Phase Ia Clinical Trial to Assess the Safety and Immunogenicity of New Plasmodium Falciparum Malaria Vaccine Candidates ChAd63 RH5 Alone and With MVA RH5	Completed	No Results Available	Malaria|Plasmodium Falciparum	Biological: ChAd63 RH5 low dose|Biological: ChAd63 RH5 full dose|Biological: MVA RH5 low dose|Biological: MVA RH5 full dose	Centre for Clinical Vaccinology and Tropical Medicine, University of Oxford, Oxford, United Kingdom|Wellcome Trust CRF, Southampton General Hospital, University of Southampton, Southampton, United Kingdom	https://ClinicalTrials.gov/show/NCT02181088
200	Efficacy of Three ACTs for the Treatment of Falciparum Malaria in Maradi Niger	Completed	No Results Available	Malaria	Drug: Artesunate-amodiaquine|Drug: Dihydroartemisinin-piperaquine|Drug: Artemether-lumefantrine	Andoumé Health Centre, Maradi, Niger	https://ClinicalTrials.gov/show/NCT01755559
201	Trial of a Falciparum Malaria Protein (FMP012), E. Coli-expressed PfCelTOS, in Healthy Malaria-Naive Adults	Completed	No Results Available	Malaria	Biological: Group 1: 10 ug FMP012 with 2 ug GLA-SE|Biological: Group 2: 10 ug FMP012 with 5 ug GLA-SE|Biological: 50 ug FMP012 with 5 ug GLA-SE or 2 ug GLA-SE	Clinical Trials Center, WRAIR, Silver Spring, Maryland, United States	https://ClinicalTrials.gov/show/NCT01540474
202	Innate and Acquired Resistance to Plasmodium Falciparum Malaria in Mali	Completed	No Results Available	Malaria		University of Bamako, Faculty of Medicine, Pharmacy and Odontostomatology, Bamako, Mali	https://ClinicalTrials.gov/show/NCT00669084
203	Evaluation of Fosmidomycin and Clindamycin in the Treatment of Acute Uncomplicated P.Falciparum Malaria in Children	Completed	No Results Available	Malaria	Drug: Fosmidomycin and Clindamycin co-administration	Centro de Investigacao em Saude da Manhica, Maputo, Mozambique	https://ClinicalTrials.gov/show/NCT01464138
204	To Evaluate the Efficacy of a Single Dose Regimen of Ferroquine and Artefenomel in Adults and Children With Uncomplicated Plasmodium Falciparum Malaria	Terminated	No Results Available	Plasmodium Falciparum Infection	Drug: Ferroquine SSR97193|Drug: Artefenomel|Other: Placebo	Investigational Site Number 204001, Cotonou, Benin|Investigational Site Number 854001, Nanoro, Burkina Faso|Investigational Site Number 854003, Niangoloko, Burkina Faso|Investigational Site Number 854002, Ouagadougou, Burkina Faso|Investigational Site Number 266001, Dalian, Gabon|Investigational Site Number 266002, Lambaréné, Gabon|Investigational Site Number 404002, Kisian, Kenya|Investigational Site Number 404003, Kisumu, Kenya|Investigational Site Number 508001, Chengdu, Mozambique|Investigational Site Number 800002, Tororo, Uganda|Investigational Site Number 704003, Binh Phuoc, Vietnam|Investigational Site Number 704004, Gia Lai, Vietnam|Investigational Site Number 704001, Khanh Hoa, Vietnam|Investigational Site Number 704002, Quang Tri, Vietnam	https://ClinicalTrials.gov/show/NCT02497612
205	Fosmidomycin and Azithromycin for Acute Uncomplicated Plasmodium Falciparum Malaria (P. Malaria) in Adults	Unknown status	No Results Available	Malaria	Drug: Fosmidomycin|Drug: Azithromycin	Mahidol University, Bangkok, Thailand	https://ClinicalTrials.gov/show/NCT01464125
206	Study of the Safety and Immunogenicity of Pfs230D1M-EPA/Alhydrogel and Pfs25M-EPA/Alhydrogel , a Transmission Blocking Vaccine Against Plasmodium Falciparum Malaria, in Adults in the U.S. and Mali	Completed	No Results Available	Malaria	Biological: Pfs230D1M-EPA/Alhydrogel|Biological: Pfs25M-EPA/Alhydrogel|Drug: TWINRIX|Drug: Menactra	National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States|Malaria Research and Training Center, Bamako, Mali	https://ClinicalTrials.gov/show/NCT02334462
207	Evaluation of Fosmidomycin and Clindamycin in the Treatment of Acute Uncomplicated Plasmodium Falciparum Malaria	Unknown status	No Results Available	Malaria	Drug: Fosmidomycin and clindamycin	Medical Research Unit, Albert Schweitzer Hospital, Lambarene, Gabon	https://ClinicalTrials.gov/show/NCT01361269
208	Controlled Double Blind Study to Evaluate the Safety, Reactogenicity, and Immunogenicity of the Candidate Plasmodium Falciparum Malaria Protein 010 (FMP010) Administered Intramuscularly With GSK Biologicals' Adjuvant AS01B	Completed	No Results Available	Malaria	Biological: Plasmodium falciparum Malaria Protein 010 (FMP010)|Biological: Rabipur		https://ClinicalTrials.gov/show/NCT02458092
209	Rapid Diagnostic Testing and Artemisinin-Based Combination Therapy for Uncomplicated Malaria by Community Health Workers	Completed	No Results Available	Uncomplicated Plasmodium Falciparum Malaria	Device: Rapid diagnostic test for malaria	Villages, Kibaha, Kibaha District, Tanzania	https://ClinicalTrials.gov/show/NCT00301015
210	A Study to Assess Safety, Immunogenicity and Parasite Growth Inhibition of an Asexual Blood Stage Vaccine for P. Falciparum Malaria	Completed	No Results Available	Malaria	Biological: AMA1-C1/Alhydrogel® + CPG 7909	Centre for Clinical Vaccinology and Tropical Medicine, University of Oxford, Oxford, Headington, United Kingdom	https://ClinicalTrials.gov/show/NCT00984763
211	Safety and Effectiveness of Artemisinin-based Combination Therapies (ACTs) With Repeated Treatments for Uncomplicated Falciparum Malaria Over a Three-year Period	Unknown status	No Results Available	Malaria	Drug: Artemether-lumefantrine combination	Malawi-Liverpool-Wellcome Trust Research Programme, College of Medicine, Blantyre, Malawi	https://ClinicalTrials.gov/show/NCT01038063
212	Effect of Antimalarial Treatment on Gametocyte Carriage in Asymptomatic P. Falciparum	Completed	No Results Available	Asymptomatic P.Falciparum Malaria	Drug: Sulfadoxine-pyrimethamine|Drug: Sulfadoxine-pyrimethamine plus artesunate	Medical Reseearch Council Laboratories The Gambia, Banjul, Gambia	https://ClinicalTrials.gov/show/NCT00289250
213	Efficacy of Amodiaquine in the Treatment of Uncomplicated Falciparum Malaria in Young Children of Burkina Faso	Completed	No Results Available	Malaria	Drug: Amodiaquine	Centre de Recherche en Santé de Nouna (CRSN), Nouna, Burkina Faso	https://ClinicalTrials.gov/show/NCT00261222
214	Phase I Study of the Safety and Immunogenicity of BSAM-2/Alhydrogel +CPG 7909, an Asexual Blood Stage Vaccine for Plasmodium Falciparum Malaria in Adults in the US and Mali	Completed	No Results Available	Malaria	Drug: BSAM2/Alhydrogel + CPG 7909	Johns Hopkins University, Baltimore, Maryland, United States|Malaria Research and Training Center, Bamako, Mali	https://ClinicalTrials.gov/show/NCT00889616
215	Efficacy, Safety and Pharmacokinetic of ArtequinTM P. Falciparum Malaria	Completed	No Results Available	Malaria	Drug: Artesunate-Mefloquine	Medical Research Unit, Albert Schweitzer Hospital, Lambarene, Gabon|Département de Parasitologie-Mycologie, Faculte de medecine, Libreville, Gabon	https://ClinicalTrials.gov/show/NCT00243737
216	Investigation of the Efficacy of Quinine Sulphate Administered Via Taste-Masked Pellets to Children With Falciparum Malaria	Completed	No Results Available	Malaria	Drug: Administration of quinine sulphate taste-masked pellets	Centre Hospitalier De Butare, Butare, Rwanda	https://ClinicalTrials.gov/show/NCT00329134
217	Efficacy of Amodiaquine-artesunate in Children Aged 6-59 Months With Uncomplicated P. Falciparum Malaria	Completed	No Results Available	Malaria	Drug: AQAS	Bondo District Hospital, Kisumu, Kenya	https://ClinicalTrials.gov/show/NCT00425763
218	Azithromycin Plus Chloroquine Versus Mefloquine In the Treatment of Uncomplicated P. Falciparum Malaria.	Completed	No Results Available	Malaria	Drug: Azithromycin plus Chloroquine|Drug: Mefloquine	Pfizer Investigational Site, Ouagadougou, West Africa, Burkina Faso|Pfizer Investigational Site, Nouna, Burkina Faso|Pfizer Investigational Site, Navrongo, West Africa, Ghana|Pfizer Investigational Site, Kisumu, Kenya|Pfizer Investigational Site, Bamako, West Africa, Mali|Pfizer Investigational Site, Bamako, Mali|Pfizer Investigational Site, Senegal, West Africa, Senegal|Pfizer Investigational Site, Ndola, Zambia	https://ClinicalTrials.gov/show/NCT00367653
219	Tolerability and Efficacy of CD+A Compared to AQ+SP for the Treatment of P.Falciparum Malaria in Rwandan Children	Completed	No Results Available	Malaria	Drug: Chlorproguanil-dapsone + artesunate	Programme Nationale Integre de Lutte contre le Paludisme, Kigali, Rwanda	https://ClinicalTrials.gov/show/NCT00461578
220	Pyronaridine Artesunate 3:1 Granule Formulation vs. Coartem© Crushed Tablets in P. Falciparum Malaria Pediatric Patients	Completed	No Results Available	Malaria	Drug: pyronaridine artesunate|Drug: arthemeter lumefantrine	Centre National de Recherche et de Formation sur le Paludisme, Ouagadougou, Burkina Faso|Ecole de Santé Publique, Faculté de Médecine, Université de Kinshasa, Kinshasa, DRC, Congo|Unité de Paludologie de l'Institut Pasteur d'Abidjan, Abdijan, Côte D'Ivoire|Medical Research Unit, Albert Schweitzer Hospital, Lambaréné, Gabon|Siaya District Hospital, Medical Superintendent's office, Siaya Town, Kenya|Malaria Research and Training Center, Faculté de Médecine, de Pharmacie et d'Ondonto-stomatologie, Bamako, Mali|Instituto Nacional de Saude, Ministero de Saude, Maputo, Mozambique|Puerto Princesa General Hospital, Puerto Princesa, Philippines	https://ClinicalTrials.gov/show/NCT00541385
